"player";"lineup";"post";"matchday"
"Héctor Bellerín";"starting";"Right-Back";30
"Granit Xhaka";"starting";"Defensive Midfield";30
"Francis Coquelin";"starting";"Defensive Midfield";30
"Mesut Özil";"starting";"Attacking Midfield";30
"Alexis Sánchez";"starting";"Left Wing";30
"Theo Walcott";"starting";"Right Wing";30
"Danny Welbeck";"starting";"Centre-Forward";30
"Emiliano Martínez";"bench";"Keeper";30
"Gabriel Paulista";"bench";"Centre-Back";30
"Kieran Gibbs";"bench";"Left-Back";30
"Mohamed Elneny";"bench";"Defensive Midfield";30
"Ainsley Maitland-Niles";"bench";"Right Midfield";30
"Alex Iwobi";"bench";"Right Wing";30
"Olivier Giroud";"bench";"Centre-Forward";30
"Emiliano Martínez";"starting";"Keeper";31
"Gabriel Paulista";"starting";"Centre-Back";31
"Shkodran Mustafi";"starting";"Centre-Back";31
"Nacho Monreal";"starting";"Left-Back";31
"Héctor Bellerín";"starting";"Right-Back";31
"Granit Xhaka";"starting";"Defensive Midfield";31
"Mohamed Elneny";"starting";"Defensive Midfield";31
"Mesut Özil";"starting";"Attacking Midfield";31
"Alexis Sánchez";"starting";"Left Wing";31
"Theo Walcott";"starting";"Right Wing";31
"Danny Welbeck";"starting";"Centre-Forward";31
"Matt Macey";"bench";"Keeper";31
"Per Mertesacker";"bench";"Centre-Back";31
"Kieran Gibbs";"bench";"Left-Back";31
"Aaron Ramsey";"bench";"Central Midfield";31
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";31
"Alex Iwobi";"bench";"Left Wing";31
"Olivier Giroud";"bench";"Centre-Forward";31
"Emiliano Martínez";"starting";"Keeper";32
"Gabriel Paulista";"starting";"Centre-Back";32
"Shkodran Mustafi";"starting";"Centre-Back";32
"Nacho Monreal";"starting";"Left-Back";32
"Héctor Bellerín";"starting";"Right-Back";32
"Granit Xhaka";"starting";"Defensive Midfield";32
"Mohamed Elneny";"starting";"Defensive Midfield";32
"Mesut Özil";"starting";"Attacking Midfield";32
